DATE,WPU01610102
2021-09-01,140.942
2021-10-01,150.900
2021-11-01,159.325
2021-12-01,166.985
2022-01-01,185.369
2022-02-01,189.199
2022-03-01,198.391
2022-04-01,207.583
2022-05-01,209.115
2022-06-01,206.051
2022-07-01,196.859
2022-08-01,191.228
2022-09-01,179.754
